DOI,CodeAvailability
10.1038/sdata20142,MISSING
10.1038/sdata20141,MISSING
10.1038/sdata20146,MISSING
10.1038/sdata20147,MISSING
10.1038/sdata20144,MISSING
10.1038/sdata20148,MISSING
10.1038/sdata20145,MISSING
10.1038/sdata20143,MISSING
10.1038/sdata20149,MISSING
10.1038/sdata201412,MISSING
10.1038/sdata201411,MISSING
10.1038/sdata201415,MISSING
10.1038/sdata201413,MISSING
10.1038/sdata201417,MISSING
10.1038/sdata201418,MISSING
10.1038/sdata201419,MISSING
10.1038/sdata201414,MISSING
10.1038/sdata201423,MISSING
10.1038/sdata201424,MISSING
10.1038/sdata201431,MISSING
10.1038/sdata201429,MISSING
10.1038/sdata201436,MISSING
10.1038/sdata201435,MISSING
10.1038/sdata201434,MISSING
10.1038/sdata201433,MISSING
10.1038/sdata201437,MISSING
10.1038/sdata201440,MISSING
10.1038/sdata201442,MISSING
10.1038/sdata201439,MISSING
10.1038/sdata201443,MISSING
10.1038/sdata201438,MISSING
10.1038/sdata201447,MISSING
10.1038/sdata201445,MISSING
10.1038/sdata201441,MISSING
10.1038/sdata201448,MISSING
10.1038/sdata201449,MISSING
10.1038/sdata201450,MISSING
10.1038/sdata201453,MISSING
10.1038/sdata201451,MISSING
10.1038/sdata201452,MISSING
10.1038/sdata201446,MISSING
10.1038/sdata201456,MISSING
10.1038/sdata201454,MISSING
10.1038/sdata20151,MISSING
10.1038/sdata20152,MISSING
10.1038/sdata20153,MISSING
10.1038/sdata20156,MISSING
10.1038/sdata20155,MISSING
10.1038/sdata20158,MISSING
10.1038/sdata20159,MISSING
10.1038/sdata201511,MISSING
10.1038/sdata201513,MISSING
10.1038/sdata20157,MISSING
10.1038/sdata201510,MISSING
10.1038/sdata201514,MISSING
10.1038/sdata201516,MISSING
10.1038/sdata201517,MISSING
10.1038/sdata201515,MISSING
10.1038/sdata201521,MISSING
10.1038/sdata201518,MISSING
10.1038/sdata201520,MISSING
10.1038/sdata201527,MISSING
10.1038/sdata201523,MISSING
10.1038/sdata201519,MISSING
10.1038/sdata201524,MISSING
10.1038/sdata201525,MISSING
10.1038/sdata201526,MISSING
10.1038/sdata201528,MISSING
10.1038/sdata201529,MISSING
10.1038/sdata201522,MISSING
10.1038/sdata201530,MISSING
10.1038/sdata201533,MISSING
10.1038/sdata201531,MISSING
10.1038/sdata201535,MISSING
10.1038/sdata201532,MISSING
10.1038/sdata201536,MISSING
10.1038/sdata201538,MISSING
10.1038/sdata201540,MISSING
10.1038/sdata201512,MISSING
10.1038/sdata201541,MISSING
10.1038/sdata201542,MISSING
10.1038/sdata201544,MISSING
10.1038/sdata201546,MISSING
10.1038/sdata201545,MISSING
10.1038/sdata201547,MISSING
10.1038/sdata201548,MISSING
10.1038/sdata201549,MISSING
10.1038/sdata201552,MISSING
10.1038/sdata201553,MISSING
10.1038/sdata201551,MISSING
10.1038/sdata201550,MISSING
10.1038/sdata201543,MISSING
10.1038/sdata201554,MISSING
10.1038/sdata201555,MISSING
10.1038/sdata201558,MISSING
10.1038/sdata201557,MISSING
10.1038/sdata201556,MISSING
10.1038/sdata201559,MISSING
10.1038/sdata201563,MISSING
10.1038/sdata201561,MISSING
10.1038/sdata201562,MISSING
10.1038/sdata201569,MISSING
10.1038/sdata201567,MISSING
10.1038/sdata201565,MISSING
10.1038/sdata201570,MISSING
10.1038/sdata201564,MISSING
10.1038/sdata201560,MISSING
10.1038/sdata201574,MISSING
10.1038/sdata201572,MISSING
10.1038/sdata201568,MISSING
10.1038/sdata201566,MISSING
10.1038/sdata201573,MISSING
10.1038/sdata201576,MISSING
10.1038/sdata201571,MISSING
10.1038/sdata201575,MISSING
10.1038/sdata201577,MISSING
10.1038/sdata20162,MISSING
10.1038/sdata201578,MISSING
10.1038/sdata20161,MISSING
10.1038/sdata20164,MISSING
10.1038/sdata20163,MISSING
10.1038/sdata20168,MISSING
10.1038/sdata20169,MISSING
10.1038/sdata201610,MISSING
10.1038/sdata20167,MISSING
10.1038/sdata20165,MISSING
10.1038/sdata201613,MISSING
10.1038/sdata201614,MISSING
10.1038/sdata201612,MISSING
10.1038/sdata20166,MISSING
10.1038/sdata201611,MISSING
10.1038/sdata201616,MISSING
10.1038/sdata201619,MISSING
10.1038/sdata201615,MISSING
10.1038/sdata201617,MISSING
10.1038/sdata201621,MISSING
10.1038/sdata201624,MISSING
10.1038/sdata201623,MISSING
10.1038/sdata201622,MISSING
10.1038/sdata201629,MISSING
10.1038/sdata201627,MISSING
10.1038/sdata201631,MISSING
10.1038/sdata201626,MISSING
10.1038/sdata201628,MISSING
10.1038/sdata201632,MISSING
10.1038/sdata201630,MISSING
10.1038/sdata201635,MISSING
10.1038/sdata201620,MISSING
10.1038/sdata201636,MISSING
10.1038/sdata201638,MISSING
10.1038/sdata201637,MISSING
10.1038/sdata201634,MISSING
10.1038/sdata201625,MISSING
10.1038/sdata201641,MISSING
10.1038/sdata201640,MISSING
10.1038/sdata201644,MISSING
10.1038/sdata201643,MISSING
10.1038/sdata201639,MISSING
10.1038/sdata201646,MISSING
10.1038/sdata201642,MISSING
10.1038/sdata201645,MISSING
10.1038/sdata201652,MISSING
10.1038/sdata201648,MISSING
10.1038/sdata201650,MISSING
10.1038/sdata201651,MISSING
10.1038/sdata201647,MISSING
10.1038/sdata201654,MISSING
10.1038/sdata201653,MISSING
10.1038/sdata201664,MISSING
10.1038/sdata201662,MISSING
10.1038/sdata201656,MISSING
10.1038/sdata201657,MISSING
10.1038/sdata201649,MISSING
10.1038/sdata201658,MISSING
10.1038/sdata201660,MISSING
10.1038/sdata201661,MISSING
10.1038/sdata201663,MISSING
10.1038/sdata201668,MISSING
10.1038/sdata201666,MISSING
10.1038/sdata201665,MISSING
10.1038/sdata201669,MISSING
10.1038/sdata201655,MISSING
10.1038/sdata201667,MISSING
10.1038/sdata201672,MISSING
10.1038/sdata201671,MISSING
10.1038/sdata201674,MISSING
10.1038/sdata201670,MISSING
10.1038/sdata201673,MISSING
10.1038/sdata201675,MISSING
10.1038/sdata201680,MISSING
10.1038/sdata201676,MISSING
10.1038/sdata201679,MISSING
10.1038/sdata201683,MISSING
10.1038/sdata201684,MISSING
10.1038/sdata201685,MISSING
10.1038/sdata201681,MISSING
10.1038/sdata201686,MISSING
10.1038/sdata201691,MISSING
10.1038/sdata201682,MISSING
10.1038/sdata201687,MISSING
10.1038/sdata201688,MISSING
10.1038/sdata201689,MISSING
10.1038/sdata201690,MISSING
10.1038/sdata201693,MISSING
10.1038/sdata201696,MISSING
10.1038/sdata201692,MISSING
10.1038/sdata201698,MISSING
10.1038/sdata201697,MISSING
10.1038/sdata2016101,MISSING
10.1038/sdata201694,MISSING
10.1038/sdata2016100,MISSING
10.1038/sdata201699,MISSING
10.1038/sdata201695,MISSING
10.1038/sdata2016104,MISSING
10.1038/sdata2016103,MISSING
10.1038/sdata2016105,MISSING
10.1038/sdata2016106,MISSING
10.1038/sdata2016108,MISSING
10.1038/sdata2016107,MISSING
10.1038/sdata2016102,MISSING
10.1038/sdata2016110,MISSING
10.1038/sdata2016112,MISSING
10.1038/sdata2016118,MISSING
10.1038/sdata2016109,MISSING
10.1038/sdata2016116,MISSING
10.1038/sdata2016114,MISSING
10.1038/sdata2016119,MISSING
10.1038/sdata2016117,MISSING
10.1038/sdata2016115,MISSING
10.1038/sdata2016122,MISSING
10.1038/sdata2016124,MISSING
10.1038/sdata2016123,MISSING
10.1038/sdata2016130,MISSING
10.1038/sdata2016127,MISSING
10.1038/sdata2016132,MISSING
10.1038/sdata2016128,MISSING
10.1038/sdata2016129,MISSING
10.1038/sdata2016134,MISSING
10.1038/sdata2016126,MISSING
10.1038/sdata20171,MISSING
10.1038/sdata2016133,MISSING
10.1038/sdata20172,MISSING
10.1038/sdata2016125,MISSING
10.1038/sdata2016120,MISSING
10.1038/sdata2016131,MISSING
10.1038/sdata20175,MISSING
10.1038/sdata201717,MISSING
10.1038/sdata201715,MISSING
10.1038/sdata201716,MISSING
10.1038/sdata201711,MISSING
10.1038/sdata201712,MISSING
10.1038/sdata201721,MISSING
10.1038/sdata201722,MISSING
10.1038/sdata201718,MISSING
10.1038/sdata20178,MISSING
10.1038/sdata201723,MISSING
10.1038/sdata20179,MISSING
10.1038/sdata20177,MISSING
10.1038/sdata201720,MISSING
10.1038/sdata201727,MISSING
10.1038/sdata201731,MISSING
10.1038/sdata201729,MISSING
10.1038/sdata201710,MISSING
10.1038/sdata201724,MISSING
10.1038/sdata201726,MISSING
10.1038/sdata201713,MISSING
10.1038/sdata201714,MISSING
10.1038/sdata201732,MISSING
10.1038/sdata20173,MISSING
10.1038/sdata201734,MISSING
10.1038/sdata201736,MISSING
10.1038/sdata201733,MISSING
10.1038/sdata201737,MISSING
10.1038/sdata201738,MISSING
10.1038/sdata2016121,MISSING
10.1038/sdata201730,MISSING
10.1038/sdata201741,MISSING
10.1038/sdata201745,MISSING
10.1038/sdata201749,MISSING
10.1038/sdata201748,MISSING
10.1038/sdata201743,MISSING
10.1038/sdata201739,MISSING
10.1038/sdata201735,MISSING
10.1038/sdata201750,MISSING
10.1038/sdata201747,MISSING
10.1038/sdata201740,MISSING
