DOI,ParsingDate,Accesses,Citations,Altmetric
10.1038/sdata20142,2024-08-24,3852,6,21
10.1038/sdata20141,2024-08-24,45000,304,310
10.1038/sdata20146,2024-08-24,14000,149,10
10.1038/sdata20147,2024-08-24,8080,164,29
10.1038/sdata20144,2024-08-24,11000,77,33
10.1038/sdata20148,2024-08-24,3356,2,1
10.1038/sdata20145,2024-08-24,7192,48,0
10.1038/sdata20143,2024-08-24,24000,108,60
10.1038/sdata20149,2024-08-24,5362,32,1
10.1038/sdata201412,2024-08-24,17000,103,19
10.1038/sdata201411,2024-08-24,6224,21,20
10.1038/sdata201415,2024-08-24,34000,160,348
10.1038/sdata201413,2024-08-24,5231,16,10
10.1038/sdata201417,2024-08-24,5236,14,8
10.1038/sdata201418,2024-08-24,5035,27,8
10.1038/sdata201419,2024-08-24,11000,44,50
10.1038/sdata201414,2024-08-24,2000,1,9
10.1038/sdata201423,2024-08-24,4075,18,0
10.1038/sdata201424,2024-08-24,4948,38,7
10.1038/sdata201431,2024-08-24,22000,300,19
10.1038/sdata201429,2024-08-24,2977,12,1
10.1038/sdata201436,2024-08-24,6992,35,12
10.1038/sdata201435,2024-08-24,26000,295,35
10.1038/sdata201434,2024-08-24,7442,83,20
10.1038/sdata201433,2024-08-24,10000,37,12
10.1038/sdata201437,2024-08-24,15000,95,16
10.1038/sdata201440,2024-08-24,2652,2,8
10.1038/sdata201442,2024-08-24,13000,37,154
10.1038/sdata201439,2024-08-24,3940,23,4
10.1038/sdata201443,2024-08-24,4860,30,1
10.1038/sdata201438,2024-08-24,2466,13,0
10.1038/sdata201447,2024-08-24,28000,71,6
10.1038/sdata201445,2024-08-24,14000,104,79
10.1038/sdata201441,2024-08-24,7171,52,48
10.1038/sdata201448,2024-08-24,19000,110,7
10.1038/sdata201449,2024-08-24,17000,267,95
10.1038/sdata201450,2024-08-24,11000,46,8
10.1038/sdata201453,2024-08-24,50000,518,6
10.1038/sdata201451,2024-08-24,5249,8,0
10.1038/sdata201452,2024-08-24,6638,14,3
10.1038/sdata201446,2024-08-24,6105,9,17
10.1038/sdata201456,2024-08-24,14000,103,40
10.1038/sdata201454,2024-08-24,13000,38,48
10.1038/sdata20151,2024-08-24,23000,99,31
10.1038/sdata20152,2024-08-24,16000,91,17
10.1038/sdata20153,2024-08-24,6807,45,3
