DOI,Date,Kind,Title,Authors,Image URL
10.1038/sdata20142,2014-03-11,Data Descriptor,The systematic identification of cytoskeletal genes required for Drosophila melanogaster muscle maintenance,Alexander D Perkins | Michael J J Lee | Guy Tanentzapf,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.2/MediaObjects/41597_2014_Article_BFsdata20142_Fig1_HTML.jpg
10.1038/sdata20141,2014-03-11,Data Descriptor,Global integrated drought monitoring and prediction system,Zengchao Hao | Amir AghaKouchak | Alireza Farahmand,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.1/MediaObjects/41597_2014_Article_BFsdata20141_Fig1_HTML.jpg
10.1038/sdata20146,2014-05-27,Data Descriptor,microclim: Global estimates of hourly microclimate based on long-term monthly climate averages,Michael R Kearney | Andrew P Isaac | Warren P Porter,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.6/MediaObjects/41597_2014_Article_BFsdata20146_Fig1_HTML.jpg
10.1038/sdata20147,2014-05-27,Data Descriptor,Systematic global assessment of reef fish communities by the Reef Life Survey program,Graham J Edgar | Rick D Stuart-Smith,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.7/MediaObjects/41597_2014_Article_BFsdata20147_Fig1_HTML.jpg
10.1038/sdata20144,2014-05-27,Data Descriptor,A global compendium of human dengue virus occurrence,Jane P Messina | Oliver J Brady | Simon I Hay,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.4/MediaObjects/41597_2014_Article_BFsdata20144_Fig1_HTML.jpg
10.1038/sdata20148,2014-05-27,Data Descriptor,Time-resolved gene expression profiling during reprogramming of C/EBPα-pulsed B cells into iPS cells,Bruno Di Stefano | Samuel Collombet | Thomas Graf,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.8/MediaObjects/41597_2014_Article_BFsdata20148_Fig1_HTML.jpg
10.1038/sdata20145,2014-05-27,Data Descriptor,miRNA expression atlas in male rat,Keiichi Minami | Takeki Uehara | Tetsuro Urushidani,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.5/MediaObjects/41597_2014_Article_BFsdata20145_Fig1_HTML.jpg
10.1038/sdata20143,2014-05-27,Data Descriptor,A high-resolution 7-Tesla fMRI dataset from complex natural stimulation with an audio movie,Michael Hanke | Florian J. Baumgartner | Jörg Stadler,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.3/MediaObjects/41597_2014_Article_BFsdata20143_Fig1_HTML.jpg
10.1038/sdata20149,2014-06-10,Data Descriptor,The species translation challenge—A systems biology perspective on human and rat bronchial epithelial cells,Carine Poussin | Carole Mathis | Julia Hoeng,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.9/MediaObjects/41597_2014_Article_BFsdata20149_Fig1_HTML.jpg
10.1038/sdata201412,2014-06-10,Data Descriptor,Direct infusion mass spectrometry metabolomics dataset: a benchmark for data processing and quality control,Jennifer A Kirwan | Ralf J M Weber | Mark R Viant,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fsdata.2014.12/MediaObjects/41597_2014_Article_BFsdata201412_Fig1_HTML.jpg
